Id,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class,stat_inf_class,clustering,eigencentrality
6194,1,3591,0,6,6,0,6,6,8,0.252711,0.267576,0,0,0.000983,0.000056,9,178,0.033333,0
255,1,3590,1,5,6,1,5,6,10,0.230374,0.250978,256.854553,0.000033,0.002279,0.000063,4,202,0.066667,0.000757
980,1,3587,2,16,18,2,16,18,9,0.258422,0.283758,293.360047,0.000505,0.007439,0.000066,9,43,0.03268,0.001701
2992,1,2202,3,1,4,3,1,4,8,0.252373,0.267535,782.729024,0.006061,0.000927,0.000073,9,178,0,0.018648
2507,1,3229,8,14,22,8,14,22,8,0.288314,0.32093,9216.834053,0.020739,0.013397,0.000094,4,148,0.036797,0.026817
986,1,3585,3,23,26,3,23,26,7,0.315266,0.344592,4685.199084,0.000601,0.021618,0.000075,1,206,0.053846,0.002383
4003,1,486,5,5,10,5,5,10,8,0.216458,0.240956,3065.303663,0.000956,0.001284,0.000112,9,178,0,0.008809
0,1,3597,0,1,1,0,1,1,10,0.164059,0.169264,0,0,0,0.000056,3,131,0,0
82,1,3596,1,2,3,1,2,3,9,0.1962,0.205229,3459,0,0.000839,0.000103,3,131,0,0.000757
15,1,3685,0,5,5,0,5,5,10,0.267696,0.289024,0,0,0.005209,0.000056,4,205,0.05,0
343,1,3684,1,21,22,1,21,22,9,0.2883,0.313993,653.689367,0.000177,0.016178,0.000065,7,147,0.017316,0.000757
4282,1,2030,17,15,32,17,15,32,8,0.290708,0.322157,8030.960982,0.008652,0.013934,0.000203,10,228,0.019153,0.029804
5442,1,1637,8,0,8,8,0,8,0,0,0,0,0.001616,0,0.000198,4,205,0,0.011989
1162,1,3600,1,12,13,1,12,13,6,0.332185,0.361211,2096.012436,0.000177,0.034372,0.000065,2,205,0.076923,0.000757
3401,1,2008,208,257,465,208,257,465,8,0.365498,0.459595,585405.0706,0.142526,0.165938,0.003009,3,1,0.003865,0.348257
7106,1,3691,0,4,4,0,4,4,8,0.22891,0.238119,0,0,0.000826,0.000056,14,122,0,0
6211,1,3690,2,8,10,2,8,10,7,0.292973,0.311373,2972.105001,0.001264,0.008907,0.000069,14,209,0.022222,0.001701
6611,1,532,42,1,43,42,1,43,2,0.666667,0.75,2626.340991,0.008394,0.000022,0.001323,14,201,0.035437,0.103265
1348,1,3688,2,2,4,2,2,4,9,0.178619,0.186601,1005.568987,0.000028,0.000015,0.000091,14,45,0,0.001514
2239,1,3029,5,5,10,5,5,10,9,0.22452,0.243714,2628.514553,0.014599,0.002507,0.000077,7,122,0.033333,0.016269
2,1,3692,0,1,1,0,1,1,6,0.300532,0.336947,0,0,0.007372,0.000056,2,3,0,0
5842,1,290,278,58,336,278,58,336,5,0.427757,0.547556,214681.7387,0.21673,0.043297,0.006036,2,3,0.008298,0.879791
3,1,3782,0,7,7,0,7,7,8,0.240134,0.253873,0,0,0.002108,0.000056,9,47,0,0
3363,1,2274,11,7,18,11,7,18,10,0.167593,0.19496,2572.043802,0.002593,0.001076,0.000225,14,34,0.04902,0.013016
1277,1,3781,3,12,15,3,12,15,7,0.304626,0.329511,5932.218377,0.004896,0.011866,0.000065,14,42,0.042857,0.004514
3739,1,1874,33,27,60,33,27,60,7,0.308706,0.341877,50159.07629,0.036708,0.027642,0.000352,9,144,0.035028,0.092895
6882,1,441,6,0,6,6,0,6,0,0,0,0,0.002824,0,0.000244,9,212,0.033333,0.025927
