Source,Target,Type,Id,Label,Weight
6194,255,Undirected,1,,1
6194,980,Undirected,2,,1
6194,2992,Undirected,3,,1
6194,2507,Undirected,4,,1
6194,986,Undirected,5,,1
6194,4003,Undirected,6,,1
0,82,Undirected,7,,1
15,343,Undirected,8,,1
15,4282,Undirected,9,,1
15,5442,Undirected,10,,1
15,1162,Undirected,11,,1
15,3401,Undirected,12,,1
7106,6211,Undirected,13,,1
7106,6611,Undirected,14,,1
7106,1348,Undirected,15,,1
7106,2239,Undirected,16,,1
2,5842,Undirected,17,,1
3,3363,Undirected,18,,1
3,1277,Undirected,19,,1
3,3739,Undirected,20,,1
3,6882,Undirected,21,,1
3,4947,Undirected,22,,1
3,5740,Undirected,23,,1
3,5550,Undirected,24,,1
4,4087,Undirected,25,,1
5,2481,Undirected,26,,1
5,5269,Undirected,27,,1
5,1,Undirected,28,,1
5,3401,Undirected,29,,1
6,6072,Undirected,30,,1
6,3996,Undirected,31,,1
6,448,Undirected,32,,1
6,1673,Undirected,33,,1
6,3079,Undirected,34,,1
6,436,Undirected,35,,1
6,2126,Undirected,36,,1
6,743,Undirected,37,,1
6,4115,Undirected,38,,1
6,6286,Undirected,39,,1
7,2787,Undirected,40,,1
7,1339,Undirected,41,,1
8,6926,Undirected,42,,1
9,3401,Undirected,43,,1
9,3756,Undirected,44,,1
9,1773,Undirected,45,,1
9,5945,Undirected,46,,1
9,5424,Undirected,47,,1
9,474,Undirected,48,,1
9,2872,Undirected,49,,1
9,2439,Undirected,50,,1
9,6121,Undirected,51,,1
9,2352,Undirected,52,,1
9,6168,Undirected,53,,1
9,3258,Undirected,54,,1
10,6269,Undirected,55,,1
11,4291,Undirected,56,,1
11,6536,Undirected,57,,1
11,2054,Undirected,58,,1
11,2677,Undirected,59,,1
12,5237,Undirected,60,,1
12,2176,Undirected,61,,1
13,4198,Undirected,62,,1
13,3322,Undirected,63,,1
13,6553,Undirected,64,,1
13,3418,Undirected,65,,1
13,1615,Undirected,66,,1
13,888,Undirected,67,,1
13,1654,Undirected,68,,1
13,4945,Undirected,69,,1
13,5630,Undirected,70,,1
13,5032,Undirected,71,,1
13,23,Undirected,72,,1
13,2339,Undirected,73,,1
6726,4949,Undirected,74,,1
14,615,Undirected,75,,1
14,2779,Undirected,76,,1
14,1089,Undirected,77,,1
14,3846,Undirected,78,,1
14,3815,Undirected,79,,1
14,2481,Undirected,80,,1
14,4302,Undirected,81,,1
14,3706,Undirected,82,,1
14,5470,Undirected,83,,1
14,4486,Undirected,84,,1
2811,3826,Undirected,85,,1
2811,1536,Undirected,86,,1
2811,1044,Undirected,87,,1
2811,1960,Undirected,88,,1
2811,4639,Undirected,89,,1
2811,5453,Undirected,90,,1
2811,4024,Undirected,91,,1
2811,231,Undirected,92,,1
2811,2922,Undirected,93,,1
2811,2381,Undirected,94,,1
1,954,Undirected,95,,1
1,6448,Undirected,96,,1
1,1376,Undirected,97,,1
1,660,Undirected,98,,1
1,2292,Undirected,99,,1
1,3532,Undirected,100,,1
1,1883,Undirected,101,,1
1,5468,Undirected,102,,1
1,6716,Undirected,103,,1
1,1132,Undirected,104,,1
1,4710,Undirected,105,,1
1,7051,Undirected,106,,1
1,3739,Undirected,107,,1
1,3180,Undirected,108,,1
1,3235,Undirected,109,,1
1,6343,Undirected,110,,1
1,5212,Undirected,111,,1
1,887,Undirected,112,,1
1,4406,Undirected,113,,1
1,3241,Undirected,114,,1
1,4319,Undirected,115,,1
1,259,Undirected,116,,1
1,3807,Undirected,117,,1
1,1390,Undirected,118,,1
1,1115,Undirected,119,,1
16,2444,Undirected,120,,1
16,5892,Undirected,121,,1
16,6315,Undirected,122,,1
16,6079,Undirected,123,,1
16,1752,Undirected,124,,1
104,4406,Undirected,125,,1
104,581,Undirected,126,,1
104,7069,Undirected,127,,1
104,6136,Undirected,128,,1
18,6136,Undirected,129,,1
18,4140,Undirected,130,,1
19,485,Undirected,131,,1
19,365,Undirected,132,,1
19,3731,Undirected,133,,1
19,4967,Undirected,134,,1
19,6682,Undirected,135,,1
19,2819,Undirected,136,,1
19,5146,Undirected,137,,1
19,5358,Undirected,138,,1
19,3325,Undirected,139,,1
20,559,Undirected,140,,1
20,4482,Undirected,141,,1
20,2156,Undirected,142,,1
20,7054,Undirected,143,,1
20,2580,Undirected,144,,1
20,6299,Undirected,145,,1
20,3704,Undirected,146,,1
21,745,Undirected,147,,1
21,1414,Undirected,148,,1
21,710,Undirected,149,,1
21,4960,Undirected,150,,1
21,4700,Undirected,151,,1
21,6554,Undirected,152,,1
21,1158,Undirected,153,,1
22,4543,Undirected,154,,1
22,1773,Undirected,155,,1
23,700,Undirected,156,,1
23,1016,Undirected,157,,1
23,5052,Undirected,158,,1
23,211,Undirected,159,,1
23,5556,Undirected,160,,1
23,737,Undirected,161,,1
23,4230,Undirected,162,,1
23,3845,Undirected,163,,1
23,5554,Undirected,164,,1
23,3847,Undirected,165,,1
23,2872,Undirected,166,,1
23,5973,Undirected,167,,1
23,3108,Undirected,168,,1
23,2428,Undirected,169,,1
23,2218,Undirected,170,,1
23,1567,Undirected,171,,1
23,219,Undirected,172,,1
23,5069,Undirected,173,,1
23,2275,Undirected,174,,1
23,2557,Undirected,175,,1
23,912,Undirected,176,,1
23,506,Undirected,177,,1
23,6553,Undirected,178,,1
23,6213,Undirected,179,,1
23,5451,Undirected,180,,1
23,6422,Undirected,181,,1
23,5338,Undirected,182,,1
23,4748,Undirected,183,,1
23,3237,Undirected,184,,1
23,2566,Undirected,185,,1
23,1846,Undirected,186,,1
23,2590,Undirected,187,,1
23,3243,Undirected,188,,1
23,2002,Undirected,189,,1
23,3462,Undirected,190,,1
23,932,Undirected,191,,1
23,30,Undirected,192,,1
23,6750,Undirected,193,,1
23,877,Undirected,194,,1
23,3052,Undirected,195,,1
23,3138,Undirected,196,,1
23,6121,Undirected,197,,1
23,5530,Undirected,198,,1
23,6459,Undirected,199,,1
23,2166,Undirected,200,,1
23,748,Undirected,201,,1
23,6941,Undirected,202,,1
23,6168,Undirected,203,,1
23,3621,Undirected,204,,1
23,2529,Undirected,205,,1
23,888,Undirected,206,,1
23,7119,Undirected,207,,1
23,2345,Undirected,208,,1
23,3997,Undirected,209,,1
23,4161,Undirected,210,,1
23,4115,Undirected,211,,1
23,1175,Undirected,212,,1
24,208,Undirected,213,,1
24,2625,Undirected,214,,1
24,100,Undirected,215,,1
24,2609,Undirected,216,,1
24,3278,Undirected,217,,1
24,3495,Undirected,218,,1
24,3166,Undirected,219,,1
24,453,Undirected,220,,1
24,1961,Undirected,221,,1
24,5337,Undirected,222,,1
24,3285,Undirected,223,,1
24,2381,Undirected,224,,1
24,446,Undirected,225,,1
24,3617,Undirected,226,,1
24,938,Undirected,227,,1
24,1836,Undirected,228,,1
24,3589,Undirected,229,,1
24,748,Undirected,230,,1
24,345,Undirected,231,,1
24,5396,Undirected,232,,1
24,5073,Undirected,233,,1
24,1625,Undirected,234,,1
24,3290,Undirected,235,,1
24,6808,Undirected,236,,1
24,2740,Undirected,237,,1
24,6121,Undirected,238,,1
24,1948,Undirected,239,,1
24,56,Undirected,240,,1
24,1576,Undirected,241,,1
24,2761,Undirected,242,,1
24,5100,Undirected,243,,1
24,5693,Undirected,244,,1
24,788,Undirected,245,,1
24,6357,Undirected,246,,1
24,1089,Undirected,247,,1
24,5842,Undirected,248,,1
24,26,Undirected,249,,1
24,3462,Undirected,250,,1
24,4191,Undirected,251,,1
24,2853,Undirected,252,,1
24,4098,Undirected,253,,1
24,5093,Undirected,254,,1
24,5758,Undirected,255,,1
24,4681,Undirected,256,,1
24,5969,Undirected,257,,1
24,372,Undirected,258,,1
24,2403,Undirected,259,,1
24,2186,Undirected,260,,1
24,2062,Undirected,261,,1
24,4866,Undirected,262,,1
24,1438,Undirected,263,,1
24,3320,Undirected,264,,1
24,4673,Undirected,265,,1
24,778,Undirected,266,,1
24,6812,Undirected,267,,1
24,2332,Undirected,268,,1
24,3991,Undirected,269,,1
24,5644,Undirected,270,,1
24,5899,Undirected,271,,1
24,4876,Undirected,272,,1
24,1869,Undirected,273,,1
24,3999,Undirected,274,,1
24,5163,Undirected,275,,1
24,4444,Undirected,276,,1
24,2314,Undirected,277,,1
24,2419,Undirected,278,,1
24,4239,Undirected,279,,1
24,1877,Undirected,280,,1
24,792,Undirected,281,,1
24,6950,Undirected,282,,1
24,5792,Undirected,283,,1
24,6716,Undirected,284,,1
24,6482,Undirected,285,,1
24,795,Undirected,286,,1
24,5906,Undirected,287,,1
24,6150,Undirected,288,,1
24,2887,Undirected,289,,1
24,2426,Undirected,290,,1
24,4129,Undirected,291,,1
24,1240,Undirected,292,,1
24,5446,Undirected,293,,1
24,5447,Undirected,294,,1
24,6260,Undirected,295,,1
24,2393,Undirected,296,,1
24,165,Undirected,297,,1
24,1600,Undirected,298,,1
24,1280,Undirected,299,,1
24,2506,Undirected,300,,1
24,5787,Undirected,301,,1
24,3484,Undirected,302,,1
24,807,Undirected,303,,1
24,5569,Undirected,304,,1
24,3691,Undirected,305,,1
24,4076,Undirected,306,,1
24,1998,Undirected,307,,1
24,4914,Undirected,308,,1
24,2447,Undirected,309,,1
24,1032,Undirected,310,,1
24,7021,Undirected,311,,1
24,5802,Undirected,312,,1
24,4582,Undirected,313,,1
24,6978,Undirected,314,,1
24,1376,Undirected,315,,1
24,5555,Undirected,316,,1
24,5489,Undirected,317,,1
24,2458,Undirected,318,,1
24,5416,Undirected,319,,1
24,2011,Undirected,320,,1
24,4796,Undirected,321,,1
24,6783,Undirected,322,,1
24,6588,Undirected,323,,1
24,4597,Undirected,324,,1
24,2845,Undirected,325,,1
24,1812,Undirected,326,,1
24,2924,Undirected,327,,1
24,3253,Undirected,328,,1
