Id,Degree,Weighted Degree,pageranks,clustering,triangles,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
6194,6,6,0.000095,0.066667,1,0.005285,7,0.267314,0.277313,636.475691
255,6,6,0.000103,0.133333,2,0.009871,7,0.264457,0.275982,737.59496
980,18,18,0.000238,0.065359,10,0.017597,7,0.290059,0.301898,8234.600213
2992,4,4,0.000068,0,0,0.015972,7,0.282368,0.296406,1289.667257
2507,22,22,0.000272,0.073593,17,0.069865,6,0.325774,0.347258,29068.63552
986,26,26,0.000328,0.107692,35,0.066682,6,0.330995,0.351963,36068.26036
4003,10,10,0.000144,0,0,0.008126,7,0.275778,0.286632,2595.5583
0,1,1,0.000046,0,0,0.000286,8,0.19895,0.202664,0
82,3,3,0.000087,0,0,0.002595,7,0.248353,0.255825,7225.568198
15,5,5,0.000081,0.1,1,0.018551,7,0.292812,0.307083,2772.241093
343,22,22,0.000286,0.034632,8,0.045332,6,0.316329,0.331843,16772.11512
4282,32,32,0.000392,0.038306,19,0.05222,6,0.315671,0.331956,30788.71692
5442,8,8,0.000137,0,0,0.00631,7,0.26382,0.273961,8189.258526
1162,13,13,0.000183,0.153846,12,0.091195,6,0.341661,0.364002,13919.96544
3401,465,465,0.006683,0.007731,834,0.613608,6,0.398579,0.442964,1708485.101
7106,4,4,0.000076,0,0,0.003124,7,0.250916,0.25912,2864.625003
6211,10,10,0.000138,0.044444,2,0.028025,6,0.306504,0.319822,8936.209987
6611,43,43,0.000535,0.070875,64,0.039352,7,0.309621,0.324869,42926.42371
1348,4,4,0.000092,0,0,0.001162,8,0.211663,0.216846,479.674306
2239,10,10,0.000151,0.066667,3,0.031528,7,0.303217,0.319297,13840.51915
2,1,1,0.000032,0,0,0.012195,7,0.2833,0.295301,0
5842,336,336,0.00414,0.016596,934,0.573984,6,0.395262,0.432681,1177561.662
3,7,7,0.000114,0,0,0.00666,7,0.268523,0.278341,2250.167319
3363,18,18,0.000249,0.098039,15,0.012734,7,0.281799,0.293467,8171.388751
1277,15,15,0.000192,0.085714,9,0.050196,6,0.319478,0.338566,18093.92064
3739,60,60,0.000702,0.070056,124,0.137654,6,0.340762,0.361443,77048.27398
6882,6,6,0.000106,0.066667,1,0.009575,7,0.272498,0.283624,7684.587139
4947,5,5,0.000085,0.1,1,0.0061,7,0.26898,0.278941,455.300223
5740,2,2,0.000046,0,0,0.001044,8,0.232759,0.238364,17.788473
5550,12,12,0.000152,0.030303,2,0.031882,7,0.305257,0.321019,6063.347394
4,1,1,0.000032,0,0,0.002376,8,0.243482,0.250211,0
4087,78,78,0.000994,0.015318,46,0.095909,7,0.32183,0.339335,83631.5839
5,4,4,0.000067,0.166667,1,0.025259,7,0.302599,0.318637,1251.665988
2481,186,186,0.002299,0.035862,617,0.210669,6,0.330473,0.357913,272260.1513
5269,147,147,0.001861,0.023577,253,0.232016,6,0.354442,0.381443,264283.6058
1,26,26,0.000377,0.027692,9,0.041207,6,0.309958,0.324143,24690.95186
6,10,10,0.000146,0,0,0.008894,7,0.277399,0.288258,7198.534255
6072,10,10,0.000145,0.066667,3,0.048864,6,0.322983,0.342896,11612.52511
3996,29,29,0.000354,0.130542,53,0.027769,7,0.301052,0.314759,17810.88585
448,36,36,0.000432,0.031746,20,0.038695,7,0.306953,0.322889,32360.41851
1673,48,48,0.0006,0.035461,40,0.105788,6,0.340144,0.360564,90121.65204
3079,6,6,0.000094,0.066667,1,0.005208,7,0.260855,0.270845,706.09721
436,3,3,0.000072,0,0,0.001062,8,0.221748,0.227334,480.673325
2126,12,12,0.000166,0.075758,5,0.030135,7,0.303256,0.32133,13110.87472
743,4,4,0.000069,0.166667,1,0.003804,7,0.259487,0.268464,172.094362
4115,14,14,0.000169,0.076923,7,0.036044,7,0.303695,0.319105,4608.70732
6286,11,11,0.000141,0.145455,8,0.012157,7,0.280722,0.292018,3005.097769
7,2,2,0.000074,0,0,0.000608,8,0.210631,0.215485,3714.630294
2787,6,6,0.000125,0,0,0.006101,7,0.266734,0.276768,11689.68628
1339,2,2,0.000082,0,0,0.000486,9,0.180211,0.183543,26.312588
8,1,1,0.000033,0,0,0.000664,8,0.222559,0.228583,0
6926,10,10,0.000142,0.155556,7,0.021316,7,0.28626,0.299837,8867.94647
9,12,12,0.000153,0.121212,8,0.061777,6,0.327195,0.346915,8537.224088
3756,31,31,0.000425,0.043011,20,0.042223,7,0.312925,0.329279,29153.72042
1773,720,720,0.010422,0.003647,944,0.905046,6,0.408872,0.464026,3217254.66
5945,140,140,0.001808,0.02703,263,0.223741,6,0.350933,0.37705,139343.4707
5424,6,6,0.000102,0.133333,2,0.005127,7,0.262964,0.272416,896.220753
474,9,9,0.000153,0,0,0.012487,7,0.285046,0.295969,13709.85517
2872,62,62,0.000626,0.153887,291,0.142948,6,0.333349,0.353078,37050.91967
2439,81,81,0.00091,0.061111,198,0.185731,6,0.35267,0.376379,92903.06647
6121,47,47,0.000486,0.160037,173,0.153748,6,0.347493,0.369586,41875.18516
2352,137,137,0.001522,0.043903,409,0.251617,6,0.362946,0.389995,260647.4056
6168,54,54,0.000606,0.113208,162,0.113974,6,0.333333,0.353895,83256.61425
3258,63,63,0.000747,0.050179,98,0.111954,6,0.334995,0.354756,80054.26296
10,1,1,0.000045,0,0,0.000371,8,0.217265,0.222441,0
6269,3,3,0.000085,0,0,0.007366,7,0.277561,0.288666,7504.180959
11,4,4,0.000061,0.333333,2,0.004154,7,0.236837,0.244836,21.064608
4291,21,21,0.000231,0.37619,79,0.036452,7,0.287588,0.303312,2602.014752
6536,14,14,0.000197,0.120879,11,0.020923,7,0.275714,0.290702,14311.52522
2054,23,23,0.00026,0.320158,81,0.036541,7,0.291066,0.306315,8441.108397
2677,36,36,0.000395,0.155556,98,0.049839,7,0.29568,0.312734,10595.12142
12,2,2,0.000099,0,0,0.000953,8,0.230299,0.237468,7124
5237,3,3,0.000087,0.333333,1,0.027164,7,0.299169,0.315522,14246
2176,1,1,0.000063,0,0,0.000246,9,0.187195,0.19098,0
13,12,12,0.000156,0.090909,6,0.013327,7,0.28634,0.297903,3984.030746
4198,22,22,0.000299,0.073593,17,0.016683,7,0.282458,0.295031,14894.84149
3322,32,32,0.000355,0.163306,81,0.052376,7,0.311598,0.326537,23317.86
6553,17,17,0.000202,0.117647,16,0.080235,6,0.341301,0.36287,19540.43107
3418,23,23,0.000298,0.031621,8,0.02072,7,0.294702,0.307426,19382.55662
1615,27,27,0.000324,0.062678,22,0.041488,7,0.309661,0.32402,26815.99008
888,11,11,0.000144,0.036364,2,0.010118,7,0.266964,0.277809,1974.141934
1654,6,6,0.000113,0,0,0.002825,7,0.246318,0.254544,1144.020612
4945,23,23,0.000301,0.059289,15,0.06855,6,0.328887,0.350646,30254.72044
5630,9,9,0.000144,0.055556,2,0.010939,6,0.275479,0.286957,6837.7993
5032,18,18,0.000216,0.117647,18,0.072349,7,0.328917,0.348252,9637.059021
23,58,58,0.000577,0.118572,196,0.112501,6,0.324158,0.341195,20539.65759
2339,19,19,0.00027,0.011696,2,0.016125,7,0.287972,0.300139,16871.69435
6726,1,1,0.000032,0,0,0.021546,7,0.293972,0.30987,0
4949,691,691,0.009154,0.006384,1522,1,6,0.41635,0.470002,2999141.438
14,10,10,0.000141,0.111111,5,0.023406,7,0.297719,0.311894,4478.920097
615,11,11,0.000174,0.072727,4,0.039929,7,0.314667,0.332895,14537.95192
2779,85,85,0.00111,0.026331,94,0.122499,6,0.335136,0.357237,170304.5579
1089,54,54,0.000603,0.090147,129,0.215933,6,0.372549,0.398194,95409.20393
3846,15,15,0.0002,0.019048,2,0.017816,6,0.296258,0.308746,8702.961288
3815,48,48,0.000558,0.116135,131,0.072458,6,0.308161,0.326182,21619.39238
4302,2,2,0.000044,0,0,0.002288,7,0.25134,0.25982,3.620974
3706,199,199,0.002883,0.006091,120,0.213738,6,0.342301,0.369712,516067.9581
5470,6,6,0.000092,0.066667,1,0.017068,7,0.293041,0.305969,1572.28519
4486,21,21,0.000244,0.238095,50,0.051063,7,0.301218,0.31907,9282.100603
2811,10,10,0.000144,0.088889,4,0.013241,7,0.28417,0.295922,4382.39094
3826,8,8,0.000125,0.107143,3,0.010208,7,0.273723,0.284479,2913.189215
1536,13,13,0.000236,0.038462,3,0.012883,7,0.281132,0.293459,24516.86009
1044,36,36,0.000452,0.055556,35,0.052671,6,0.315629,0.33083,33813.41388
1960,7,7,0.000105,0.142857,3,0.006198,7,0.259942,0.269218,1065.613313
4639,115,115,0.001527,0.023036,151,0.177932,6,0.354954,0.380826,294818.9816
5453,11,11,0.000143,0.090909,5,0.041025,6,0.317768,0.335046,5704.199867
4024,5,5,0.000085,0.1,1,0.002641,8,0.242405,0.249834,402.993117
231,11,11,0.000163,0.090909,5,0.011223,7,0.282089,0.293457,8333.899115
2922,23,23,0.00032,0.035573,9,0.042059,7,0.312076,0.327475,36544.70622
2381,56,56,0.000635,0.111039,171,0.167495,6,0.350709,0.372671,78919.65101
954,2,2,0.000045,0,0,0.008564,7,0.266874,0.278406,104.20092
6448,10,10,0.000145,0.088889,4,0.043785,7,0.310823,0.32948,8802.13752
1376,13,13,0.000181,0.102564,8,0.042029,6,0.311693,0.328049,8866.144831
660,5,5,0.00009,0,0,0.021005,7,0.297669,0.313358,4416.030243
2292,1,1,0.000033,0,0,0.0011,7,0.236624,0.242539,0
3532,13,13,0.000171,0.064103,5,0.021816,7,0.294093,0.308157,6667.225997
1883,151,151,0.001973,0.015099,171,0.229354,6,0.354972,0.382781,276772.856
5468,13,13,0.000169,0.128205,10,0.047647,6,0.316343,0.33386,6933.969683
6716,155,155,0.001701,0.050189,599,0.368928,6,0.377463,0.406271,335930.445
1132,8,8,0.000118,0.071429,2,0.039123,6,0.310039,0.329682,5061.190427
4710,21,21,0.000262,0.104762,22,0.093227,6,0.341236,0.362713,20323.56042
7051,14,14,0.00022,0.032967,3,0.017897,6,0.288182,0.301062,10525.84646
3180,6,6,0.000109,0,0,0.005016,7,0.259875,0.269266,7243.756384
3235,1,1,0.000033,0,0,0.0011,7,0.236624,0.242539,0
6343,11,11,0.000163,0.2,11,0.04123,6,0.310363,0.327338,8712.050932
5212,4,4,0.000067,0,0,0.007718,7,0.275245,0.285751,510.289151
887,5,5,0.000078,0.2,2,0.014256,7,0.287449,0.299998,402.077062
4406,182,182,0.002353,0.007832,129,0.230734,6,0.342861,0.369453,295919.6573
3241,12,12,0.000161,0.242424,16,0.09691,6,0.34397,0.367025,10373.0286
4319,11,11,0.000161,0.072727,4,0.034689,6,0.308883,0.327265,13135.82869
259,14,14,0.000167,0.153846,14,0.039449,6,0.309661,0.32513,3857.630738
3807,12,12,0.000159,0.227273,15,0.059644,6,0.327556,0.347827,14190.94113
1390,11,11,0.000152,0.145455,8,0.057013,7,0.323305,0.341662,6475.494344
1115,9,9,0.000141,0.166667,6,0.071146,6,0.331149,0.351991,25639.10252
