days,mature,views,partner,id
1459,FALSE,9528,FALSE,2299
1629,TRUE,3615,FALSE,153
411,TRUE,46546,FALSE,397
953,TRUE,5863,FALSE,5623
741,TRUE,5594,FALSE,5875
1820,FALSE,4594,FALSE,3346
2070,FALSE,18460,FALSE,6930
846,TRUE,204,FALSE,6367
936,TRUE,1064,FALSE,1434
973,FALSE,313084,FALSE,4470
1198,FALSE,791,FALSE,5122
993,TRUE,364,FALSE,4790
931,TRUE,3994,FALSE,4919
1354,FALSE,3956,FALSE,575
1720,FALSE,2833,FALSE,639
1573,TRUE,16054,FALSE,7012
2219,FALSE,3950,FALSE,6445
2142,TRUE,89458,TRUE,1170
3039,TRUE,115054,FALSE,326
1664,FALSE,657,FALSE,4956
1591,TRUE,29158,FALSE,2639
368,TRUE,25085,FALSE,5028
1069,TRUE,8917,FALSE,6277
2035,TRUE,3011,FALSE,6784
535,TRUE,8482,FALSE,49
1450,FALSE,95722,FALSE,4526
1718,FALSE,3930,FALSE,4108
2441,FALSE,9733,FALSE,1171
1784,FALSE,4828,FALSE,2568
1179,TRUE,10775,FALSE,5731
702,TRUE,21793,FALSE,1760
2495,TRUE,574,FALSE,6707
1938,FALSE,11980,FALSE,2019
1895,TRUE,770,FALSE,634
2492,TRUE,1568,FALSE,4670
1790,TRUE,31841,FALSE,2399
1638,FALSE,261,FALSE,5737
1500,FALSE,18318,FALSE,6974
2158,FALSE,1607,FALSE,6919
725,TRUE,1725,FALSE,240
1814,FALSE,1639,FALSE,5646
1910,TRUE,3315,FALSE,158
289,TRUE,2733,FALSE,3298
2106,FALSE,1294,FALSE,2354
673,FALSE,14678,FALSE,1161
1921,TRUE,488224,TRUE,1869
853,TRUE,8138,FALSE,3499
1138,FALSE,3403,FALSE,5655
924,TRUE,758,FALSE,5295
2385,TRUE,859,FALSE,6468
2063,FALSE,3221,FALSE,3872
1931,FALSE,212170,TRUE,5676
547,FALSE,2264,FALSE,72
2313,FALSE,1224,FALSE,544
804,TRUE,5573,FALSE,4228
1959,TRUE,3420,FALSE,2430
1405,FALSE,106623,FALSE,2677
2447,TRUE,798,FALSE,576
2315,FALSE,8926,FALSE,5986
498,FALSE,759,FALSE,3707
1712,TRUE,2759,FALSE,809
